Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
Sub-Saharan Africa,Comoros,2010,654836,0.304251641,99.53784943,0.13002573,0,0.000762167,0,0.02710774,1,174
Sub-Saharan Africa,Comoros,2020,802163.5,0.50999999,98.30000305,0.129999995,0,0.00062022,0,1.059379816,1,174
Latin America-Caribbean,Costa Rica,2010,4555962,91.23590851,0.017740272,7.544550419,0.044134337,0.008870136,0.054086197,1.094713807,1,188
Latin America-Caribbean,Costa Rica,2020,5034320,87.85917664,0.025180042,10.09859562,0.048993725,0.009369318,0.050750472,1.907937527,1,188
Europe,Croatia,2010,4301145.5,93.6523819,1.540855169,4.672171593,0.022235209,0.011464562,0.012186487,0.088707931,1,191
Europe,Croatia,2020,3953958,90.85782623,1.372602701,6.657827854,0.022288118,0.011706879,0.015337282,1.062411189,1,191
Latin America-Caribbean,Cuba,2010,11297409,58.79412079,0.079992004,23.53764534,0.049995001,0.209978998,0.009999,17.31826782,1,192
Latin America-Caribbean,Cuba,2020,11176354,60.65393448,0.079992004,21.60783958,0.049995001,0.209978998,0.009999,17.3882618,1,192
Latin America-Caribbean,Curacao,2010,156879,90.65573883,0.492258787,5.882593155,0.31371662,1.99981153,0.193806157,0.462071747,1,531
Latin America-Caribbean,Curacao,2020,185018,90.61946869,0.496805102,5.926228046,0.348674119,1.986836076,0.19414404,0.4278467,1,531
Asia-Pacific,Cyprus,2010,1127816.5,65.53677368,26.57514763,6.483201504,0.637345552,0.283264667,0.041759547,0.442503721,1,196
Asia-Pacific,Cyprus,2020,1302247.5,67.7487793,24.3588028,6.57008934,0.557559073,0.266658694,0.043770704,0.454339713,1,196
Europe,Czech Republic,2010,10464035.5,30.02878761,0.189588875,68.53768158,0.105826624,0.02276182,0.025552208,1.089803815,1,203
Europe,Czech Republic,2020,10550129.5,26.41275787,0.327130884,72.81342316,0.068411015,0.016849395,0.025813967,0.335610092,1,203
Sub-Saharan Africa,Democratic Republic of the Congo,2010,68563037.5,96.4972229,1.205383658,1.421827912,0.000213107,0.001577757,0.000150622,0.873626471,1,180
Sub-Saharan Africa,Democratic Republic of the Congo,2020,95989998,96.26151276,1.270551205,1.175555229,0.000153266,0.001197573,0.000107697,1.290924907,1,180
Europe,Denmark,2010,5547862.5,80.1672287,3.194696188,14.49713802,0.498567879,0.304989249,0.148677945,1.188699007,1,208
Europe,Denmark,2020,5831530,76.90623474,4.219104767,16.63090706,0.656479597,0.435123563,0.106127203,1.046020389,1,208
Sub-Saharan Africa,Djibouti,2010,930251.5,1.345522642,97.41294861,1.11495316,0,0.040002666,0,0.086572863,1,262
Sub-Saharan Africa,Djibouti,2020,1105188.5,1.100098968,97.67207336,1.101313591,0,0.039979678,0,0.086538285,1,262
Latin America-Caribbean,Dominican Republic,2010,9820175,84.92118073,0.019640427,14.94174099,0.034063864,0.007569748,0.001022939,0.074783213,1,214
Latin America-Caribbean,Dominican Republic,2020,11008300,77.63658142,0.024818942,19.60108948,0.042546757,0.006363831,0.000909119,2.687689304,1,214
Latin America-Caribbean,Ecuador,2010,15076695,95.56450653,0.014276579,4.269433975,0.017078524,0.008672688,0.004002779,0.122032568,1,218
Latin America-Caribbean,Ecuador,2020,17546064.5,88.52362061,0.018136753,8.391396523,0.022002894,0.007959703,0.003411301,3.033472061,1,218
Middle East-North Africa,Egypt,2010,89196072.5,5.084518433,94.90718842,0.0045844,2.09523E-05,6.28542E-05,0.000396393,0.003230284,1,818
Middle East-North Africa,Egypt,2020,109315123.5,4.821415901,95.17256927,0.004652523,5.40333E-05,0.000170961,0.000214229,0.000923006,1,818
Latin America-Caribbean,El Salvador,2010,6068249.5,88.34280396,0.003271163,11.62399292,0.006542325,0.001799139,0.001635581,0.019954091,1,222
Latin America-Caribbean,El Salvador,2020,6234673.5,87.10838318,0.003496097,11.88199902,0.006674367,0.001906962,0.001589135,0.995953739,1,222
Sub-Saharan Africa,Equatorial Guinea,2010,1189085,88.68035889,4.048071861,4.987300873,0.002740916,0.049927879,0.003654555,2.227944136,1,226
Sub-Saharan Africa,Equatorial Guinea,2020,1716468.5,88.68036652,4.048058987,4.98730135,0.04323177,0.049927894,0.062654741,2.128455639,1,226
Sub-Saharan Africa,Eritrea,2010,2945186.5,47.0705452,51.27932739,1.038851142,0.000953069,0.02663576,0.00031769,0.583367586,1,232
Sub-Saharan Africa,Eritrea,2020,3291270.5,46.6711731,51.66958237,1.061151981,0.000843676,0.030002011,0.000281225,0.566967666,1,232
Europe,Estonia,2010,1331448.5,61.18571091,0.498735726,31.50699997,0.125595614,0.058804311,0.205762431,6.418391228,1,233
Europe,Estonia,2020,1329669.5,52.61386108,0.598115027,43.60287857,0.196146205,0.062808216,0.135394946,2.790795803,1,233
Sub-Saharan Africa,Eswatini,2010,1111650,93.13148499,0.336388111,3.987750292,0.023638083,0.13637355,0.01818314,2.36618042,1,748
Sub-Saharan Africa,Eswatini,2020,1192729.5,93.2284317,0.135700136,6.155977249,0.022890331,0.127168506,0.0169558,0.312879413,1,748
Sub-Saharan Africa,Ethiopia,2010,90538513.5,62.55389786,34.79376221,0.062757298,0.00117228,0.002468538,0.00626561,2.579677582,1,231
Sub-Saharan Africa,Ethiopia,2020,118917671.5,61.57827377,36.24017715,0.062328301,0.001163285,0.002422591,0.004776543,2.110861063,1,231
Asia-Pacific,Federated States of Micronesia,2010,107539.501,98.78705597,0.001932067,0.700653851,0.083652839,0.008744567,0,0.417957932,1,583
Asia-Pacific,Federated States of Micronesia,2020,110916.501,98.8032608,0.001957694,0.684671223,0.083652839,0.008626352,0,0.41783303,1,583
Asia-Pacific,Fiji,2010,910419,65.53061676,6.268487453,0.255071163,0.061866865,27.11120605,0.018781014,0.753971398,1,242
Asia-Pacific,Fiji,2020,914963,69.51997375,5.780370712,0.251333505,0.064101033,24.10296059,0.020642705,0.260621518,1,242
Europe,Finland,2010,5363350.5,81.82421875,0.818588078,16.57051277,0.168797016,0.062930189,0.051536109,0.503421724,1,246
Europe,Finland,2020,5529612,72.28497314,1.610194445,25.04721832,0.314537853,0.147366583,0.062084887,0.533625603,1,246
Europe,France,2010,63417362.5,57.09673691,6.625971794,34.48221207,0.517911732,0.096085221,0.77188462,0.409195036,1,250
Europe,France,2020,65905277.5,46.46761322,9.097817421,42.64575195,0.71300137,0.127766788,0.691686749,0.256361872,1,250
Latin America-Caribbean,French Guiana,2010,234564.5,84.53321075,0.89661628,3.330902576,0.599684417,1.563838005,0.045013648,9.030734062,1,254
Latin America-Caribbean,French Guiana,2020,289055.5,84.19790649,0.917363584,3.407637596,0.601437628,1.600029469,0.040511314,9.235111237,1,254
Asia-Pacific,French Polynesia,2010,270580,93.53176117,0.369994491,4.922085762,0.092329718,0.070475146,0.057008278,0.95634681,1,258
Asia-Pacific,French Polynesia,2020,279209,93.44609833,0.324589819,5.035518169,0.093618087,0.062930681,0.053901322,0.983344495,1,258
Sub-Saharan Africa,Gabon,2010,1719879,86.03609467,5.448763371,7.794300079,0,0,0,0.720840156,1,266
Sub-Saharan Africa,Gabon,2020,2322539,83.74291992,8.6376791,5.762040138,0,0,0,1.857362628,1,266
Sub-Saharan Africa,Gambia,2010,1926629.5,3.456587553,96.23338318,0.030874807,0,0.072679408,0,0.206475586,1,270
Sub-Saharan Africa,Gambia,2020,2515733.5,2.893367529,97.00270844,0.017932352,0,0.066045195,0,0.019944005,1,270
Europe,Georgia,2010,3895924.5,88.57878113,10.66631889,0.437617511,0.011128976,0.011311418,0.048188806,0.246654943,1,268
Europe,Georgia,2020,3795678,88.17262268,10.46078014,0.988308668,0.011647883,0.012154249,0.044509161,0.309977889,1,268
Europe,Germany,2010,80830924,62.2303009,5.141801357,31.81594849,0.322043866,0.126234323,0.146326303,0.21734415,1,276
Europe,Germany,2020,83628708.5,56.23487854,6.548741341,36.14769745,0.343751937,0.156519756,0.141607389,0.426800668,1,276
Sub-Saharan Africa,Ghana,2010,25474994.5,71.08795166,17.66755676,5.270244122,0,0,0,5.974249363,1,288
Sub-Saharan Africa,Ghana,2020,31887809,71.28790283,19.87060738,1.068349838,0,0,0,7.773138046,1,288
Europe,Greece,2010,11124670,91.24494171,4.503005981,3.676095247,0.018624619,0.072504595,0.040783837,0.444042325,1,300
